post,longitude,latitude
29410,-92.4746,16.5358
29410,-92.4869,16.5412
29410,-92.5088,16.5611
29410,-92.4847,16.5485
29410,-92.5189,16.5908
29410,-92.5714,16.5457
29410,-92.5253,16.5833
29410,-92.4903,16.5444
30425,-82.1002,32.6549
30425,-94.11,16.4667
30425,-94.0442,16.4661
30425,-93.8938,16.6237
30425,-94.0483,16.5161
30425,-93.6941,16.6927
30425,-93.7828,16.6261
30425,-94.0192,16.6547
30425,-93.9889,16.4767
30425,-93.9439,16.5108
30425,-93.8258,16.5592
30425,-93.9859,16.4749
30425,-93.8674,16.7129
30425,-93.9757,16.5135
30425,-93.7465,16.7022
30425,-93.9532,16.4144
30425,-93.9425,16.3831
30425,-93.8678,16.7131
30425,-93.9883,16.3997
30425,-94.0508,16.5117
30425,-94.1206,16.4975
30425,-93.8156,16.9208
30425,-94.0806,16.4764
30425,-94.0953,16.4325
30425,-94.0658,16.5147
30425,-93.9678,16.3992
30425,-94.0611,16.5091
30425,-94.0606,16.5172
30425,-94.0431,16.4714
30425,-93.9047,16.5606
30425,-94.0322,16.5172
30425,-93.8553,16.5367
30425,-94.0494,16.5211
30425,-94.0522,16.5097
30425,-94.0131,16.4192
30425,-93.9432,16.3782
30425,-94.0658,16.5103
30425,-93.6394,16.8032
30425,-93.9861,16.4408
30425,-94.0606,16.5022
30425,-93.9916,16.432
30425,-94.0461,16.5139
30425,-93.9875,16.4881
30425,-94.0042,16.4292
30425,-93.7667,16.6333
30425,-93.9604,16.6522
30425,-94.0075,16.4403
30425,-93.9842,16.4197
30425,-94.0461,16.4722
30425,-94.0231,16.5139
30425,-94.0544,16.51
30425,-93.7558,16.6508
30425,-93.8279,16.7675
30425,-94.1028,16.4247
30425,-93.9833,16.4778
30425,-94.0232,16.5135
30425,-94.0486,16.5144
30425,-93.9639,16.3986
30425,-94.0593,16.5234
30425,-93.8189,16.5164
30425,-94.0125,16.4819
30425,-94.0575,16.5103
30425,-93.9606,16.4161
30425,-93.9944,16.5017
30425,-94.1061,16.4256
30425,-93.9967,16.4942
30425,-94.0339,16.5161
30425,-94.0153,16.45
30425,-93.8278,16.5506
29950,-91.9258,16.9125
29950,-91.8803,16.95
29950,-91.9478,16.9244
29950,-92.083,16.905
29950,-92.0711,16.8892
29950,-92.1583,16.8689
